기본순자산금액,회계연도,순자산조정금액,소관명,적립금잉여금액,구분,합계금액
0.0,2022,0.0,과학기술정보통신부,1418537000.0,무상이전수입,1418537000.0
0.0,2022,0.0,과학기술정보통신부,1023222053700.0,기타재원조달,1023222053700.0
0.0,2022,0.0,과학기술정보통신부,661486426042.0,재원의이전,661486426042.0
0.0,2022,0.0,과학기술정보통신부,416525529660.0,국고이전지출,416525529660.0
0.0,2022,0.0,과학기술정보통신부,5917037712.0,무상이전지출,5917037712.0
0.0,2022,0.0,과학기술정보통신부,239043858670.0,기타재원이전,239043858670.0
0.0,2022,911807101540.0,과학기술정보통신부,150688661340.0,조정항목,1062495762880.0
0.0,2022,-591873112.0,과학기술정보통신부,0.0,투자증권평가손익,-591873112.0
0.0,2022,912398974652.0,과학기술정보통신부,0.0,자산재평가이익,912398974652.0
0.0,2022,0.0,공정거래위원회,178959403060.0,재원의조달및이전,178959403060.0
0.0,2022,0.0,공정거래위원회,138615517155.0,재정운영결과,138615517155.0
7933015934.0,2022,3176832927.0,공정거래위원회,399057887204.0,보고금액,410167736065.0
1869138227.0,2022,0.0,고위공직자범죄수사처,7017482314.0,보고금액,8886620541.0
0.0,2022,0.0,고위공직자범죄수사처,14406038959.0,재정운영결과,14406038959.0
0.0,2022,0.0,고위공직자범죄수사처,19332747560.0,재원의조달및이전,19332747560.0
0.0,2022,0.0,고위공직자범죄수사처,19475307210.0,재원의조달,19475307210.0
0.0,2022,0.0,고위공직자범죄수사처,18301839120.0,국고수입,18301839120.0
0.0,2022,0.0,고위공직자범죄수사처,1173468090.0,기타재원조달,1173468090.0
0.0,2022,0.0,고위공직자범죄수사처,142559650.0,재원의이전,142559650.0
0.0,2022,0.0,고위공직자범죄수사처,142559650.0,국고이전지출,142559650.0
0.0,2022,0.0,고위공직자범죄수사처,0.0,조정항목,0.0
1869138227.0,2022,0.0,고위공직자범죄수사처,11944190915.0,당기 기말순자산,13813329142.0
7933015934.0,2022,2574555832.0,공정거래위원회,233767209507.0,전기 기초순자산,244274781273.0
7933015934.0,2022,2574555832.0,공정거래위원회,233767209507.0,보고금액,244274781273.0
0.0,2022,0.0,공정거래위원회,221933193437.0,재정운영결과,221933193437.0
0.0,2022,0.0,공정거래위원회,387223871134.0,재원의조달및이전,387223871134.0
0.0,2022,0.0,공정거래위원회,1178698730610.0,재원의조달,1178698730610.0
0.0,2022,0.0,공정거래위원회,141681669660.0,국고수입,141681669660.0
0.0,2022,0.0,공정거래위원회,1029641759540.0,제재금수익,1029641759540.0
0.0,2022,0.0,공정거래위원회,7375301410.0,기타재원조달,7375301410.0
0.0,2022,0.0,공정거래위원회,791474859476.0,재원의이전,791474859476.0
0.0,2022,0.0,공정거래위원회,790844413720.0,국고이전지출,790844413720.0
0.0,2022,0.0,공정거래위원회,630445756.0,무상이전지출,630445756.0
0.0,2022,602277095.0,공정거래위원회,0.0,조정항목,602277095.0
0.0,2022,601721945.0,공정거래위원회,0.0,자산재평가이익,601721945.0
