사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,경찰청,20535,건축,업무시설(공공청사),업무시설(공공청사),836,0,39,신안경찰서 청사 신축,185,0,1070,18405
,2023,경찰청,28374,건축,업무시설(공공청사),업무시설(공공청사),954,0,41,양산동부경찰서 신축,10000,0,175,17204
,2023,경찰청,26260,건축,업무시설(공공청사),업무시설(공공청사),797,0,48,의령경찰서 이전 신축,1534,0,3078,20803
,2023,경찰청,44677,건축,업무시설(공공청사),업무시설(공공청사),2138,0,89,의정부동부경찰서 신설 신축,1643,0,2226,38581
,2023,경찰청,70338,건축,업무시설(공공청사),업무시설(공공청사),1113,0,72,인천검단경찰서 신축,35781,0,2220,31152
,2023,경찰청,41718,건축,업무시설(공공청사),업무시설(공공청사),1493,0,82,인천남동경찰서 신축,0,0,3074,37069
,2023,경찰청,26993,건축,업무시설(공공청사),업무시설(공공청사),1234,0,56,인천부평경찰서 신축,0,0,1503,24200
,2023,경찰청,37392,건축,업무시설(공공청사),업무시설(공공청사),1425,0,64,인천영종경찰서 신축,6591,0,1693,27619
,2023,경찰청,26373,건축,업무시설(공공청사),업무시설(공공청사),1489,0,45,전북 김제경찰서 이전 신축,4701,0,1372,18766
,2023,경찰청,29612,건축,업무시설(공공청사),업무시설(공공청사),1260,0,48,전북 정읍경찰서 신축,4229,0,1705,22370
,2023,경찰청,40960,건축,업무시설(공공청사),업무시설(공공청사),2607,0,83,제주 동부경찰서 재건축,0,0,2111,36159
,2023,경찰청,45115,건축,업무시설(공공청사),업무시설(공공청사),2056,0,91,종로경찰서 신축,0,0,2916,40052
,2023,경찰청,35235,건축,업무시설(공공청사),업무시설(공공청사),1659,0,73,종암경찰서 신축,0,0,1765,31738
,2023,경찰청,45949,건축,업무시설(공공청사),업무시설(공공청사),1893,0,95,중앙경찰학교 생활관 증축,0,0,2601,41360
,2023,경찰청,43555,건축,업무시설(공공청사),업무시설(공공청사),1912,0,90,중앙경찰학교 종합실습타운 재건축,0,0,2259,39294
,2023,경찰청,28947,건축,업무시설(공공청사),업무시설(공공청사),1175,0,49,증평경찰서 신축,4732,0,1766,21225
,2023,경찰청,39861,건축,업무시설(공공청사),업무시설(공공청사),1731,0,61,청주서원경찰서 신축,9798,0,1675,26596
,2023,경찰청,29833,건축,업무시설(공공청사),업무시설(공공청사),1125,0,48,충남 천안동부경찰서 신설 신축,6151,0,1464,21045
,2023,경찰청,30884,건축,업무시설(공공청사),업무시설(공공청사),741,0,44,충남청 계룡경찰서 신축,9634,0,1672,18793
,2023,경찰청,20839,건축,업무시설(공공청사),업무시설(공공청사),980,0,37,충남청 논산경찰서 신축,4159,0,158,15505
,2023,경찰청,23367,건축,업무시설(공공청사),업무시설(공공청사),1107,0,48,충남청 수사동 증축,0,0,1453,20759
,2023,경찰청,27417,건축,업무시설(공공청사),업무시설(공공청사),650,0,49,충북 옥천경찰서 신축,3574,0,2650,20494
,2023,경찰청,23481,건축,업무시설(공공청사),업무시설(공공청사),1137,0,48,충북 제천경찰서 재건축,0,0,1456,20840
,2023,경찰청,26661,건축,업무시설(공공청사),업무시설(공공청사),1320,0,52,충북 충주경찰서 신축,0,0,2817,22472
,2023,경찰청,50006,건축,업무시설(공공청사),업무시설(공공청사),1665,0,67,평택경찰서 신축사업,17310,0,1750,29214
,2023,경찰청,28249,건축,업무시설(공공청사),업무시설(공공청사),1440,0,52,평택북부경찰서 신설,0,0,1532,25225
,2023,경찰청,25642,건축,업무시설(공공청사),업무시설(공공청사),1048,0,52,포항북부서 신축,83,0,1254,23205
,2023,경찰청,43931,건축,업무시설(공공청사),업무시설(공공청사),1530,0,87,혜화경찰서 신축,0,0,2138,40176
,2023,경찰청,21921,건축,학교등 교육연구시설,학교 등 교육시설,898,0,43,경찰대학 청사 증축 사업,0,0,1266,19714
,2023,경찰청,20523,건축,학교등 교육연구시설,학교 등 교육시설,1288,0,40,전남 신안경찰수련원 신축,2400,0,170,16625
,2023,고용노동부,201480,건축,병원등 의료시설,의료시설(장례식장 포함),6060,0,310,울산산재전문공공병원 건립,46299,0,7903,140908
,2023,고용노동부,33318,건축,숙박시설(수련원),"숙박시설(연수원,면회소 등)",916,0,52,영남권 글로벌숙련기술진흥원 건립,7597,0,1407,23346
,2023,고용노동부,27253,건축,업무시설(공공청사),업무시설(공공청사),946,0,111,국가고용정보화개발센터 구축,3612,0,1544,21040
,2023,고용노동부,36092,건축,업무시설(공공청사),업무시설(공공청사),2057,0,109,근로복지공단 경인지역본부 신축공사,0,0,2569,31357
,2023,고용노동부,38260,건축,업무시설(공공청사),업무시설(공공청사),1408,0,68,노사동반성장 지원센터 건립 지원,2050,0,1700,33034
,2023,고용노동부,117777,건축,학교등 교육연구시설,학교 등 교육시설,2635,0,215,경기남부직업능력개발원 건립,48359,0,3943,62625
,2023,고용노동부,47334,건축,학교등 교육연구시설,학교 등 교육시설,1740,0,64,경기북부폴리텍 건립사업,16640,0,935,27955
,2023,고용노동부,34667,건축,학교등 교육연구시설,학교 등 교육시설,1431,0,354,고용서비스역량강화센터 건립사업,0,0,3574,29308
,2023,고용노동부,23585,건축,학교등 교육연구시설,학교 등 교육시설,741,0,52,나주전력기술교육원 건립사업,6320,0,1078,15394
,2023,고용노동부,27154,건축,학교등 교육연구시설,학교 등 교육시설,1104,0,59,밀양폴리텍 건립사업,0,0,249,25742
,2023,고용노동부,34717,건축,학교등 교육연구시설,학교 등 교육시설,1735,0,66,서천폴리텍 건립사업,2562,0,1625,28729
,2023,고용노동부,29100,건축,학교등 교육연구시설,학교 등 교육시설,1440,0,70,장애인고용 교육연수원,0,0,1790,25800
,2023,고용노동부,29517,건축,학교등 교육연구시설,학교 등 교육시설,1944,0,89,한국기술교육대학교 1공학관 환경개선,0,0,1977,25507
,2023,고위공직자범죄수사처,41600,건축,업무시설(공공청사),업무시설(공공청사),1914,0,86,고위공직자범죄수사처 청사 신축,0,0,2171,37429
,2023,과학기술정보통신부,247830,R&D,연구기반구축 R&D,연구단지 조성,3420,0,136,극한소재 실증연구 기반조성,28600,7067,2876,205731
,2023,과학기술정보통신부,43660,R&D,연구기반구축 R&D,연구시설,2058,0,633,Challenge 융합관 건립,0,0,3029,37940
,2023,과학기술정보통신부,777012,R&D,연구기반구축 R&D,연구시설,25467,0,1385,기초과학연구원 건립,143500,0,21480,585180
,2023,과학기술정보통신부,956609,R&D,연구기반구축 R&D,연구시설,10105,0,472,다목적방사광가속기 구축사업,200000,44607,7203,694222
,2023,과학기술정보통신부,48931,R&D,연구기반구축 R&D,연구시설,1736,0,102,민간 소형발사체 발사장 구축,244,0,2334,44515
,2023,과학기술정보통신부,30983,R&D,연구기반구축 R&D,연구시설,1400,0,65,산학연D-센서실험시설증축,0,0,2055,27463
,2023,과학기술정보통신부,35944,R&D,연구기반구축 R&D,연구시설,1311,0,101,수소 에너지 첨단 연구동 건설사업,0,0,2259,32273
,2023,과학기술정보통신부,644452,R&D,연구기반구축 R&D,연구시설,28509,0,5383,수출용 신형연구로 개발 및 실증,40000,0,12285,558275
,2023,과학기술정보통신부,88391,R&D,연구기반구축 R&D,연구시설,3123,0,147,연구동 환경개선사업Ⅳ,0,8039,3046,74036
