계정명,DIF_AMT,이체등증감액,회계명,회계연도,불납결손액,미수납액,소관명,수납금액,징수결정금액,세입예산액,세입예산현액
도로계정,126197020630.0,0.0,교통시설특별회계,2022,783890.0,111211521980.0,국토교통부,8580603020630.0,8691815326500.0,8454406000000.0,8454406000000.0
철도계정,66729128200.0,0.0,교통시설특별회계,2022,0.0,6063495900.0,국토교통부,5450686128200.0,5456749624100.0,5383957000000.0,5383957000000.0
세종특별자치시계정,513585140.0,0.0,국가균형발전특별회계,2022,0.0,0.0,국토교통부,513585140.0,513585140.0,0.0,0.0
제주특별자치도계정,-231146160.0,0.0,국가균형발전특별회계,2022,0.0,0.0,국토교통부,90853840.0,90853840.0,322000000.0,322000000.0
지역자율계정,84494396420.0,0.0,국가균형발전특별회계,2022,7964935930.0,1057182804260.0,국토교통부,319530396420.0,1384678136610.0,235036000000.0,235036000000.0
지역지원계정,-11067540680.0,0.0,국가균형발전특별회계,2022,57025500.0,253658285300.0,국토교통부,262296459320.0,516011770120.0,273364000000.0,273364000000.0
투자계정,-476346600.0,0.0,에너지및자원사업특별회계,2022,0.0,0.0,국토교통부,290653400.0,290653400.0,767000000.0,767000000.0
,23992068520.0,-13733000000.0,일반회계,2022,1518420.0,30852462060.0,국토교통부,170501068520.0,201355049000.0,160242000000.0,146509000000.0
,-696583600.0,0.0,혁신도시건설특별회계,2022,0.0,0.0,국토교통부,41731416400.0,41731416400.0,42428000000.0,42428000000.0
,-398104150.0,0.0,일반회계,2022,24688090.0,225563290.0,국회,3764895850.0,4015147230.0,4163000000.0,4163000000.0
,34802127000.0,0.0,일반회계,2022,746245500.0,32763410090.0,금융위원회,316551127000.0,350060782590.0,281749000000.0,281749000000.0
,-15726258720.0,0.0,일반회계,2022,0.0,95425840.0,기상청,5692741280.0,5788167120.0,21419000000.0,21419000000.0
세종특별자치시계정,6076426840.0,0.0,국가균형발전특별회계,2022,0.0,0.0,기획재정부,77660426840.0,77660426840.0,71584000000.0,71584000000.0
제주특별자치도계정,26259245600.0,0.0,국가균형발전특별회계,2022,0.0,0.0,기획재정부,291267245600.0,291267245600.0,265008000000.0,265008000000.0
지역자율계정,-33293168600.0,0.0,국가균형발전특별회계,2022,0.0,0.0,기획재정부,2553250831400.0,2553250831400.0,2586544000000.0,2586544000000.0
지역지원계정,289169681610.0,0.0,국가균형발전특별회계,2022,0.0,0.0,기획재정부,8076920681610.0,8076920681610.0,7787751000000.0,7787751000000.0
,-3402054843940.0,0.0,일반회계,2022,1828958097210.0,56745045841916.0,기획재정부,484667196106060.0,543241200045186.0,488069250950000.0,488069250950000.0
제주특별자치도계정,30000000.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농림축산식품부,30000000.0,30000000.0,0.0,0.0
지역자율계정,5292320840.0,0.0,국가균형발전특별회계,2022,0.0,496833580.0,농림축산식품부,18470320840.0,18967154420.0,13178000000.0,13178000000.0
지역지원계정,-1804203100.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농림축산식품부,22796900.0,22796900.0,1827000000.0,1827000000.0
구조개선사업계정,-429926025400.0,0.0,농어촌구조개선특별회계,2022,0.0,4155655710.0,농림축산식품부,5230228974600.0,5234384630310.0,5660155000000.0,5660155000000.0
농어촌특별세사업계정,748316221340.0,0.0,농어촌구조개선특별회계,2022,0.0,19175205320.0,농림축산식품부,9797322221340.0,9816497426660.0,9049006000000.0,9049006000000.0
손익계정,39175952260.0,0.0,양곡관리특별회계,2022,0.0,449407190.0,농림축산식품부,2226995952260.0,2227445359450.0,2187820000000.0,2187820000000.0
자본계정,811330.0,0.0,양곡관리특별회계,2022,0.0,0.0,농림축산식품부,811330.0,811330.0,0.0,0.0
융자계정,-13373678850.0,0.0,에너지및자원사업특별회계,2022,0.0,0.0,농림축산식품부,8660321150.0,8660321150.0,22034000000.0,22034000000.0
투자계정,-17818512830.0,0.0,에너지및자원사업특별회계,2022,0.0,0.0,농림축산식품부,3096487170.0,3096487170.0,20915000000.0,20915000000.0
,-11684686110.0,0.0,일반회계,2022,7065390.0,6298031010.0,농림축산식품부,9025313890.0,15330410290.0,20710000000.0,20710000000.0
,33163580.0,0.0,혁신도시건설특별회계,2022,0.0,0.0,농림축산식품부,33163580.0,33163580.0,0.0,0.0
세종특별자치시계정,-9237180.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농촌진흥청,2762820.0,2762820.0,12000000.0,12000000.0
제주특별자치도계정,-96520380.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농촌진흥청,53479620.0,53479620.0,150000000.0,150000000.0
지역자율계정,-114470150.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농촌진흥청,1845529850.0,1845529850.0,1960000000.0,1960000000.0
지역지원계정,-229271570.0,0.0,국가균형발전특별회계,2022,0.0,0.0,농촌진흥청,582728430.0,582728430.0,812000000.0,812000000.0
구조개선사업계정,-789172560.0,0.0,농어촌구조개선특별회계,2022,0.0,0.0,농촌진흥청,928827440.0,928827440.0,1718000000.0,1718000000.0
,-1495934820.0,0.0,일반회계,2022,0.0,18227960.0,농촌진흥청,10166065180.0,10184293140.0,11662000000.0,11662000000.0
,1148289510.0,0.0,혁신도시건설특별회계,2022,0.0,0.0,농촌진흥청,2375289510.0,2375289510.0,1227000000.0,1227000000.0
,11902733480.0,0.0,등기특별회계,2022,0.0,20139170.0,대법원,317305733480.0,317325872650.0,305403000000.0,305403000000.0
,-77949502570.0,0.0,일반회계,2022,0.0,1481266800.0,대법원,406097497430.0,407578764230.0,484047000000.0,484047000000.0
,258024450.0,0.0,일반회계,2022,0.0,0.0,대통령경호처,333024450.0,333024450.0,75000000.0,75000000.0
,367949280.0,0.0,일반회계,2022,0.0,10477970.0,대통령비서실 및 국가안보실,664949280.0,675427250.0,297000000.0,297000000.0
지역자율계정,131961550.0,0.0,국가균형발전특별회계,2022,0.0,363656690.0,문화재청,131961550.0,495618240.0,0.0,0.0
,-8770979620.0,0.0,일반회계,2022,75256280.0,15480946260.0,문화재청,46204020380.0,61760222920.0,54975000000.0,54975000000.0
세종특별자치시계정,992762330.0,0.0,국가균형발전특별회계,2022,0.0,2742750.0,문화체육관광부,998762330.0,1001505080.0,6000000.0,6000000.0
