회계연도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산,수납본월금액,수납누계금액
2018,1,72,문화체육관광부,110,일반회계,11,재산수입,51,관유물대여료,511,토지대여료,844000000,18117350,18117350
2018,1,72,문화체육관광부,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,2940000000,103145130,103145130
2018,1,72,문화체육관광부,110,일반회계,11,재산수입,51,관유물대여료,513,기타관유물대여료,780000000,4889950,4889950
2018,1,72,문화체육관광부,110,일반회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,2964000000,61675530,61675530
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",561,벌금및과료,10000000,0,0
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",563,과태료,290000000,0,0
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",565,과징금,0,0,0
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,57,변상금및위약금,572,위약금,0,9028800,9028800
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,58,가산금,581,가산금,0,0,0
2018,1,72,문화체육관광부,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,38035000000,1982205450,1982205450
2018,1,72,문화체육관광부,110,일반회계,13,재화및용역판매수입,64,입장료수입,641,입장료수입,2681000000,169091840,169091840
2018,1,72,문화체육관광부,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,651,면허료및수수료,454000000,271520,271520
2018,1,72,문화체육관광부,110,일반회계,13,재화및용역판매수입,69,잡수입,691,기타잡수입,7398000000,212085450,212085450
2018,1,72,문화체육관광부,110,일반회계,14,수입대체경비수입,51,관유물대여료,513,기타관유물대여료,0,1536500,1536500
2018,1,72,문화체육관광부,110,일반회계,14,수입대체경비수입,64,입장료수입,641,입장료수입,0,0,0
2018,1,72,문화체육관광부,110,일반회계,14,수입대체경비수입,69,잡수입,691,기타잡수입,0,0,0
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,11,재산수입,51,관유물대여료,512,건물대여료,0,4011260,4011260
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,153000000,9836150,9836150
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,490511000,2692908980,2692908980
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,13,재화및용역판매수입,64,입장료수입,641,입장료수입,0,72301050,72301050
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,13,재화및용역판매수입,69,잡수입,691,기타잡수입,0,141160300,141160300
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,33,전년도이월금,88,전년도이월금,881,전년도이월금,2044000000,0,0
2018,1,72,문화체육관광부,234,아시아문화중심도시조성특별회계,40,정부내부수입및기타,91,전입금,911,일반회계전입금,69122000000,50000000000,50000000000
2018,1,72,문화체육관광부,236,지역균형발전특별회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,0,735610,735610
2018,1,72,문화체육관광부,236,지역균형발전특별회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,10436000000,45006810,45006810
2018,1,72,문화체육관광부,517,관광진흥개발기금,11,재산수입,54,기타이자수입및재산수입,542,통화금융기관이자수입,5843000000,393577230,393577230
2018,1,72,문화체육관광부,517,관광진흥개발기금,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,4135000000,168626930,168626930
2018,1,72,문화체육관광부,517,관광진흥개발기금,12,경상이전수입,59,기타경상이전수입,593,법정부담금,5.65E+11,31491659000,31491659000
2018,1,72,문화체육관광부,517,관광진흥개발기금,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,14187000000,642459110,642459110
2018,1,72,문화체육관광부,517,관광진흥개발기금,20,융자및전대차관원금회수,75,융자원금회수,752,통화금융기관융자원금회수,2.97E+11,20775790000,20775790000
2018,1,72,문화체육관광부,517,관광진흥개발기금,31,차입금및여유자금회수,85,정부예금회수,852,통화금융기관예치금회수,1.50E+11,6529940,6529940
2018,1,72,문화체육관광부,517,관광진흥개발기금,31,차입금및여유자금회수,85,정부예금회수,853,비통화금융기관예치금회수,1.50E+11,1.23E+11,1.23E+11
2018,1,72,문화체육관광부,517,관광진흥개발기금,40,정부내부수입및기타,91,전입금,911,일반회계전입금,25000000000,0,0
2018,1,72,문화체육관광부,568,국민체육진흥기금,11,재산수입,54,기타이자수입및재산수입,544,기타민간이자수입,1730000000,26093,26093
2018,1,72,문화체육관광부,568,국민체육진흥기금,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,5011000000,525005136,525005136
2018,1,72,문화체육관광부,568,국민체육진흥기금,12,경상이전수입,59,기타경상이전수입,593,법정부담금,53552000000,1328378761,1328378761
2018,1,72,문화체육관광부,568,국민체육진흥기금,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,20880000000,41087694270,41087694270
2018,1,72,문화체육관광부,568,국민체육진흥기금,13,재화및용역판매수입,69,잡수입,691,기타잡수입,23590000000,1104568150,1104568150
2018,1,72,문화체육관광부,568,국민체육진흥기금,13,재화및용역판매수입,69,잡수입,697,기타영업외잡수익,1.24E+12,1.09E+11,1.09E+11
2018,1,72,문화체육관광부,568,국민체육진흥기금,20,융자및전대차관원금회수,75,융자원금회수,754,기타민간융자원금회수,11455000000,42953068,42953068
2018,1,72,문화체육관광부,568,국민체육진흥기금,31,차입금및여유자금회수,85,정부예금회수,852,통화금융기관예치금회수,69913000000,0,0
2018,1,72,문화체육관광부,568,국민체육진흥기금,31,차입금및여유자금회수,85,정부예금회수,853,비통화금융기관예치금회수,80353000000,30000000000,30000000000
2018,1,72,문화체육관광부,568,국민체육진흥기금,40,정부내부수입및기타,91,전입금,913,기금전입금,68282000000,1983000000,1983000000
2018,1,72,문화체육관광부,568,국민체육진흥기금,40,정부내부수입및기타,95,예탁이자수입,953,기금예탁이자수입,5957000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,11,재산수입,51,관유물대여료,512,건물대여료,1175000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,3280000000,94930000,94930000
2018,1,72,문화체육관광부,569,문화예술진흥기금,12,경상이전수입,59,기타경상이전수입,594,민간출연금,24183000000,10773540,10773540
2018,1,72,문화체육관광부,569,문화예술진흥기금,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,10478000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,13,재화및용역판매수입,64,입장료수입,641,입장료수입,6244000000,49666,49666
2018,1,72,문화체육관광부,569,문화예술진흥기금,13,재화및용역판매수입,69,잡수입,691,기타잡수입,48000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,14,수입대체경비수입,69,잡수입,697,기타영업외잡수익,15940000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,31,차입금및여유자금회수,85,정부예금회수,852,통화금융기관예치금회수,54616000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,40,정부내부수입및기타,91,전입금,911,일반회계전입금,50000000000,0,0
2018,1,72,문화체육관광부,569,문화예술진흥기금,40,정부내부수입및기타,91,전입금,913,기금전입금,1.82E+11,0,0
