TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,299055,M,11350,노원구,Nowon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,311524,M,11350,노원구,Nowon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,489358,M,11380,은평구,Eunpyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,241106,M,11380,은평구,Eunpyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,248252,M,11380,은평구,Eunpyeong-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,323909,M,11410,서대문구,Seodaemun-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,158533,M,11410,서대문구,Seodaemun-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,165376,M,11410,서대문구,Seodaemun-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,392099,M,11440,마포구,Mapo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,191127,M,11440,마포구,Mapo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,200972,M,11440,마포구,Mapo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,499746,M,11470,양천구,Yangcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,248850,M,11470,양천구,Yangcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,250896,M,11470,양천구,Yangcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,574029,M,11500,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,283245,M,11500,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,290784,M,11500,강서구,Gangseo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,423274,M,11530,구로구,Guro-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,213749,M,11530,구로구,Guro-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,209525,M,11530,구로구,Guro-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,244814,M,11545,금천구,Geumcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,125323,M,11545,금천구,Geumcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,119491,M,11545,금천구,Geumcheon-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,406705,M,11560,영등포구,Yeongdeungpo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,204993,M,11560,영등포구,Yeongdeungpo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,201712,M,11560,영등포구,Yeongdeungpo-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,402777,M,11590,동작구,Dongjak-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,198560,M,11590,동작구,Dongjak-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,204217,M,11590,동작구,Dongjak-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,531578,M,11620,관악구,Gwanak-gu,
