계정명,단위사업명,경비구분,지출구분,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,국회확정금액,정부안금액
공항계정,지방공항건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,무안공항건설,항공·공항,23000000.0,23000000.0
공항계정,지방공항건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,울진공항건설,항공·공항,3800000.0,3800000.0
공항계정,소음대책,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,공항소음대책,항공·공항,2927000.0,2927000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,기상시설건설및유지관리,항공·공항,2567000.0,2567000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,비행점검용항공기신규도입,항공·공항,4241000.0,4241000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,비행점검용항공기운영,항공·공항,1906000.0,1906000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,수직분리축소기능보강,항공·공항,1289000.0,1289000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,시계활주로사고방지시설보강,항공·공항,1900000.0,1900000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,전방향표지시설개량,항공·공항,3942000.0,3942000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공기사고조사및장비유지,항공·공항,1404000.0,1404000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공기안전성인증성수행,항공·공항,491000.0,491000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공등화시설보강,항공·공항,1564000.0,1564000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공안전교육훈련,항공·공항,1518900.0,1518900.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공안전운항체계확립,항공·공항,200000.0,200000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항로관제시설,항공·공항,1593000.0,1593000.0
공항계정,항행안전시설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항행안전시설유지관리,항공·공항,1470100.0,1470100.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,감일-초이1광역도로건설,도로,8000000.0,3000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,계수대로광역도로건설,도로,9775000.0,9775000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,고양화전-신사광역도로건설,도로,8000000.0,8000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,다산-화원광역도로건설,도로,5000000.0,5000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,대전산성-구례광역도로건설,도로,8000000.0,7000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,동부간선광역도로건설,도로,10000000.0,10000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,매천로-지천광역도로건설,도로,11500000.0,11500000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,방아다리-하남시계광역도로건설,도로,3000000.0,3000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,백안-와촌광역도로건설,도로,9000000.0,4000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,부원동-가락광역도로건설,도로,7000000.0,7000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,사가정-암사광역도로건설,도로,12000000.0,7000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,서운동-삼정동광역도로건설,도로,1000000.0,0.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,서창-나주남평광역도로건설,도로,4881000.0,4881000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,신내-퇴계원광역도로건설,도로,17284000.0,17284000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,신흥동-마달령광역도로건설,도로,7000000.0,7000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,여월택지-남부순환로광역도로건설,도로,300000.0,300000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,우치-담양봉산광역도로건설,도로,3484000.0,3484000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,원당-태리광역도로건설,도로,2000000.0,1000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,장유신문-강서광역도로건설,도로,3000000.0,3000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,천왕-광명광역도로건설,도로,2000000.0,1000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,초정-화명광역도로건설,도로,7000000.0,5000000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,하남-하일광역도로건설,도로,5776000.0,5776000.0
광역교통시설계정,광역도로,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,지자체도로건설지원,화명동-양산광역도로건설,도로,3000000.0,3000000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,망우-금곡복선전철,철도,40400000.0,40400000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,부산-울산복선전철,철도,51200000.0,51200000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,수원-인천복선전철,철도,16600000.0,16600000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,신분당선복선전철,철도,28300000.0,28300000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,오리-수원복선전철,철도,64700000.0,44700000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,왕십리-선릉복선전철,철도,80000000.0,80000000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,용산-문산복선전철,철도,90000000.0,90000000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,의정부-동안복선전철,철도,120500000.0,120500000.0
광역교통시설계정,광역철도건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,청량리-덕소복선전철,철도,28600000.0,28600000.0
광역교통시설계정,광역철도조사설계,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,소사-대곡복선전철,철도,5000000.0,5000000.0
광역교통시설계정,광역철도조사설계,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,신안산선복선전철,철도,4000000.0,4000000.0
광역교통시설계정,광역철도조사설계,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,정자-수원복선전철,철도,1000000.0,0.0
대중교통계정,경량전철건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,부산-김해간경전철건설,도시철도,48000000.0,48000000.0
대중교통계정,경량전철건설지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,용인경전철건설,도시철도,47300000.0,47300000.0
대중교통계정,광주지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,광주지하철1호선건설,도시철도,27897000.0,27897000.0
대중교통계정,대구지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,대구지하철2호선연장,도시철도,15000000.0,15000000.0
대중교통계정,대구지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,대구지하철3호선건설,도시철도,13856000.0,13856000.0
대중교통계정,부산지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,부산지하철1호선연장,도시철도,3000000.0,3000000.0
대중교통계정,부산지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,부산지하철2호선연장,도시철도,500000.0,500000.0
대중교통계정,부산지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,부산지하철3호선건설,도시철도,146500000.0,146500000.0
대중교통계정,서울지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,서울지하철3호선연장,도시철도,34700000.0,34700000.0
대중교통계정,서울지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,서울지하철7호선연장,도시철도,55500000.0,55500000.0
대중교통계정,서울지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,서울지하철8호선연장,도시철도,1500000.0,0.0
대중교통계정,서울지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,서울지하철9호선건설,도시철도,206800000.0,181800000.0
대중교통계정,서울지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,서울지하철9호선건설(2단계),도시철도,1000000.0,0.0
대중교통계정,인천지하철건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도건설,인천지하철1호선송도연장,도시철도,50000000.0,50000000.0
대중교통계정,도시철도부채상환지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도경영개선지원,부산교통공단채무상환지원,도시철도,477900000.0,477900000.0
대중교통계정,도시철도부채상환지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도경영개선지원,지하철부채상환지원,도시철도,140000000.0,140000000.0
대중교통계정,지하철개통지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도경영개선지원,대구지하철개통,도시철도,677000.0,677000.0
대중교통계정,지하철개통지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도경영개선지원,대전지하철개통,도시철도,12486000.0,12486000.0
대중교통계정,지하철개통지원,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,도시철도경영개선지원,부산지하철개통,도시철도,1884000.0,1884000.0
대중교통계정,회계기금간예수원금상환(교특회계 도시철도),주요사업비(기금사업비),내부거래지출(예산=>기금간거래),수송및교통,교통시설특별회계,2007,건설교통부,회계기금간거래(예수원금상환),교특회계(도시철도)에서 공자기금으로 예수원금상환,도시철도,18666400.0,18666400.0
대중교통계정,회계기금간예수이자상환(교특회계 도시철도),주요사업비(기금사업비),내부거래지출(예산=>기금간거래),수송및교통,교통시설특별회계,2007,건설교통부,회계기금간거래(예수이자상환),교특회계(도시철도)에서 공자기금으로 예수이자상환,도시철도,7685500.0,7685500.0
대중교통계정,미래도시철도기술개발,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,건설교통연구개발,미래도시철도기술개발사업,물류등기타,37800000.0,47800000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,강릉2산단진입도로,산업단지,8415000.0,8415000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,경주외동2산단진입도로,산업단지,375000.0,375000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,고령다산2산단진입도로,산업단지,135000.0,135000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,광주첨단산단진입도로,산업단지,30020000.0,30020000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산1)산단진입도로,산업단지,18004000.0,18004000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산3)산단진입도로,산업단지,2511000.0,2511000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항1)산단진입도로,산업단지,6105000.0,6105000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항2)산단진입도로,산업단지,6310000.0,6310000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구구지산단진입도로,산업단지,30015000.0,30015000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구봉무산단진입도로,산업단지,16310000.0,6310000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대덕연구산단진입도로,산업단지,7365000.0,7365000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대불산단진입도로,산업단지,5160000.0,5160000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,미포산단진입도로,산업단지,8230000.0,8230000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,밀양사포산단진입도로,산업단지,700000.0,0.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,부산정관산단진입도로,산업단지,25420000.0,22420000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,서산산단진입도로,산업단지,130000.0,130000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,송도지식산단진입도로,산업단지,10370000.0,8370000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,아산인주1(2)산단진입도로,산업단지,5710000.0,5710000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수2산단진입도로,산업단지,9000000.0,9000000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수국가산단진입도로,산업단지,20210000.0,10210000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,오송(1)산단진입도로,산업단지,7805000.0,6305000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,오송생명(2)산단진입도로,산업단지,1000000.0,1000000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,온산국가산단진입도로,산업단지,2105000.0,2105000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,울산길천산단진입도로,산업단지,800000.0,800000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,율촌(2)산단진입도로,산업단지,2055000.0,2055000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,음성맹동산단진입도로,산업단지,4160000.0,4160000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,조치원전의산단진입도로,산업단지,7060000.0,5560000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,증평산단진입도로,산업단지,3555000.0,2055000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진북산단진입도로,산업단지,6160000.0,6160000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진주산단진입도로,산업단지,6160000.0,6160000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진해2산단진입도로,산업단지,5155000.0,6155000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,천북산단진입도로,산업단지,3007000.0,3007000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,천안4산단진입도로,산업단지,25000000.0,20000000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,충주산단진입도로,산업단지,6442000.0,6442000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,충주중원산단진입도로,산업단지,2055000.0,2055000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,탕정T/C산단진입도로,산업단지,30010000.0,30010000.0
도로계정,산업단지진입도로지원,주요사업비(기금사업비),일반지출,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,함안칠서산단진입도로,산업단지,490000.0,490000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,경주-언양고속도로,도로,1000000.0,1000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,고창-장성고속도로,도로,22700000.0,22700000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,공주-서천고속도로,도로,31500000.0,31500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,김천-현풍고속도로,도로,97400000.0,97400000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,냉정-부산고속도로,도로,5500000.0,4500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,논산-전주고속도로,도로,18000000.0,18000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,대구-포항고속도로,도로,17600000.0,17600000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,대전-당진고속도로,도로,28500000.0,28500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,동광주-고서고속도로,도로,19500000.0,19500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,동대구-경주고속도로,도로,1000000.0,1000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,목포-광양고속도로,도로,42500000.0,42500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,무안-광주고속도로,도로,52600000.0,47600000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,성산-담양고속도로,도로,23000000.0,20000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,성서-옥포고속도로,도로,20500000.0,20500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,신갈-호법고속도로,도로,23000000.0,23000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,양재-기흥고속도로,도로,81000000.0,81000000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,양평-여주고속도로,도로,6500000.0,6500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,영동-옥천고속도로,도로,11500000.0,11500000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,음성-충주고속도로,도로,23400000.0,23400000.0
도로계정,고속도로건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,고속도로건설,음성-호법고속도로,도로,11000000.0,11000000.0
