계정명,단위사업명,경비구분,지출구분,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,국회확정금액,정부안금액
,ASOSAI 세미나 개최,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,ASOSAI 세미나 개최,일반행정,100326.0,100326.0
,감사역량강화,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,1334888.0,1504888.0
,감사활동경비,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,15867853.0,15867853.0
,본부 기본경비,기본경비(경상운영비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,공익근무요원 운영,일반행정,55361.0,55361.0
,본부 기본경비,기본경비(경상운영비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,5459858.0,5459858.0
,본부 인건비,인건비(기금인건비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 인건비,일반행정,48725749.0,48725749.0
,본부청사 및 시설물 관리,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,노후시설 개선공사,일반행정,402400.0,402400.0
,소속기관 기본경비,기본경비(경상운영비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사교육원 기본경비,일반행정,1685106.0,1685106.0
,소속기관 기본경비,기본경비(경상운영비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구원 기본경비,일반행정,1278675.0,1278675.0
,소속기관 인건비,인건비(기금인건비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사교육원 인건비,일반행정,2180918.0,2180918.0
,소속기관 인건비,인건비(기금인건비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구원 인건비,일반행정,2156448.0,2156448.0
,소속기관 청사 및 시설물관리,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,토사유출 방지시설 등 설치,일반행정,244973.0,244973.0
,수입대체경비,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사교육원 수입대체경비,일반행정,239400.0,239400.0
,전산운영경비,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 전산운영경비,일반행정,1466233.0,1466233.0
,전산운영경비,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구원 전산운영경비,일반행정,56368.0,56368.0
,평가연구활동경비,주요사업비(기금사업비),일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구활동경비,일반행정,1049028.0,1049028.0
공항계정,항공선진화,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,건설교통연구개발,항공선진화사업,물류등기타,19400000.0,19400000.0
공항계정,인천국제공항2단계,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,인천국제공항건설,인천국제공항2단계건설,항공·공항,200000000.0,200000000.0
공항계정,일반공항관리,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,양양공항어업피해소송,항공·공항,1700000.0,1700000.0
공항계정,일반공항관리,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,정기하자검사용역,항공·공항,30000.0,30000.0
공항계정,지방공항건설,주요사업비(기금사업비),일반지출,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,김해공항확장(2단계),항공·공항,71000000.0,71000000.0
