회계연도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산,수납본월금액,수납누계금액
2015,1,4,국가정보원,110,일반회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,1159000000,0,0
2015,1,5,감사원,110,일반회계,11,재산수입,51,관유물대여료,511,토지대여료,6000000,0,0
2015,1,5,감사원,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,11000000,11256370,11256370
2015,1,5,감사원,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",564,징계부과금,0,0,0
2015,1,5,감사원,110,일반회계,12,경상이전수입,58,가산금,581,가산금,0,0,0
2015,1,5,감사원,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,20000000,13740,13740
2015,1,5,감사원,110,일반회계,14,수입대체경비수입,69,잡수입,691,기타잡수입,317000000,0,0
2015,1,6,국회,110,일반회계,11,재산수입,51,관유물대여료,511,토지대여료,4000000,130330,130330
2015,1,6,국회,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,813000000,0,0
2015,1,6,국회,110,일반회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,5000000,520910,520910
2015,1,6,국회,110,일반회계,12,경상이전수입,57,변상금및위약금,571,변상금,8000000,0,0
2015,1,6,국회,110,일반회계,12,경상이전수입,57,변상금및위약금,572,위약금,20000000,0,0
2015,1,6,국회,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,600000000,455012450,455012450
2015,1,6,국회,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,651,면허료및수수료,150000000,0,0
2015,1,6,국회,110,일반회계,13,재화및용역판매수입,69,잡수입,691,기타잡수입,50000000,4628600,4628600
2015,1,6,국회,110,일반회계,14,수입대체경비수입,69,잡수입,691,기타잡수입,126000000,0,0
2015,1,6,국회,110,일반회계,15,관유물매각대,71,고정자산매각대,713,기타고정자산매각대,60000000,0,0
2015,1,7,대법원,110,일반회계,11,재산수입,51,관유물대여료,511,토지대여료,630000000,0,0
2015,1,7,대법원,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,2190000000,176561260,176561260
2015,1,7,대법원,110,일반회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,40000000,330410,330410
2015,1,7,대법원,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",562,몰수금및추징금,100000000,1716260,1716260
2015,1,7,대법원,110,일반회계,12,경상이전수입,57,변상금및위약금,571,변상금,150000000,155029910,155029910
2015,1,7,대법원,110,일반회계,12,경상이전수입,58,가산금,581,가산금,0,0,0
2015,1,7,대법원,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,98510000000,99803282460,99803282460
