계정명,이체등증감액,회계명,회계연도,수입항,수입항명,수입관,수입관명,불납결손액,미수납액,소관명,수납액,징수결정액,세입예산액/당초수입계획액,세입예산액/수정수입계획액,세입예산현액/수입계획현액,수납순액
,0,사법서비스진흥기금,2022,57,변상금및위약금,12,경상이전수입,0,1395432960,대법원,258427020,1653859980,0,0,0,258427020
,0,사법서비스진흥기금,2022,58,가산금,12,경상이전수입,0,440800,대법원,46400,487200,0,0,0,46400
,0,사법서비스진흥기금,2022,59,기타경상이전수입,12,경상이전수입,0,0,대법원,75988021070,75988021070,1.01596E+11,1.01596E+11,1.01596E+11,75988021070
,0,사법서비스진흥기금,2022,65,면허료및수수료,13,재화및용역판매수입,0,0,대법원,152000,152000,0,0,0,152000
,0,사법서비스진흥기금,2022,69,잡수입,13,재화및용역판매수입,0,0,대법원,248180,248180,0,0,0,248180
,0,사법서비스진흥기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,대법원,26459251980,26459251980,49829000000,49829000000,49829000000,26459251980
,0,사법서비스진흥기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,대법원,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000
,0,사법서비스진흥기금,2022,95,예탁이자수입,40,정부내부수입및기타,0,0,대법원,575999980,575999980,1170000000,1170000000,1170000000,575999980
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,헌법재판소,44560,44560,0,0,0,44560
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,0,헌법재판소,22741710,22741710,450000000,450000000,450000000,22741710
,0,일반회계,2022,65,면허료및수수료,13,재화및용역판매수입,0,0,헌법재판소,5112400,5112400,9000000,9000000,9000000,5112400
,0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0,0,헌법재판소,17514340,17514340,21000000,21000000,21000000,17514340
,0,일반회계,2022,51,관유물대여료,11,재산수입,0,0,중앙선거관리위원회,16202380,16202380,20000000,20000000,20000000,16202380
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,중앙선거관리위원회,14678400,14678400,10000000,10000000,10000000,14678400
,0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,73605000,67285350,중앙선거관리위원회,92621220,233511570,300000000,300000000,300000000,92621220
,0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0,0,중앙선거관리위원회,89772080,89772080,0,0,0,89772080
,0,일반회계,2022,58,가산금,12,경상이전수입,0,862820,중앙선거관리위원회,1026380,1889200,0,0,0,1026380
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,1278507600,중앙선거관리위원회,6148156620,7426664220,3695000000,3695000000,3695000000,6148156620
,0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0,0,중앙선거관리위원회,221531640,221531640,10000000,10000000,10000000,221531640
,0,일반회계,2022,72,토지및무형자산매각대,15,관유물매각대,0,0,중앙선거관리위원회,95052500,95052500,0,0,0,95052500
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,민주평화통일자문회의,2215740,2215740,3000000,3000000,3000000,2215740
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,11909970,민주평화통일자문회의,9896370,21806340,2000000,2000000,2000000,9896370
,0,일반회계,2022,51,관유물대여료,11,재산수입,0,0,감사원,10892130,10892130,26000000,26000000,26000000,10892130
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,0,감사원,25614610,25614610,73000000,73000000,73000000,25614610
,0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0,0,감사원,102144140,102144140,97000000,97000000,97000000,102144140
,0,일반회계,2022,69,잡수입,14,수입대체경비수입,0,0,감사원,425320000,425320000,520000000,520000000,520000000,425320000
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,국가정보원,42317964910,42317964910,7719000000,7719000000,7719000000,42317964910
,0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0,0,국무조정실 및 국무총리비서실,10352050,10352050,1000000,1000000,1000000,10352050
,0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0,0,국무조정실 및 국무총리비서실,11361500,11361500,0,0,0,11361500
,0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0,0,국무조정실 및 국무총리비서실,264786270,264786270,22000000,22000000,22000000,264786270
,0,일반회계,2022,11,소득세,1,내국세,14639887750,6.20569E+12,기획재정부,1.28749E+14,1.34969E+14,1.27846E+14,1.27846E+14,1.27846E+14,1.28749E+14
,0,일반회계,2022,12,법인세,1,내국세,6191446430,1.8066E+12,기획재정부,1.0357E+14,1.05383E+14,1.04066E+14,1.04066E+14,1.04066E+14,1.0357E+14
,0,일반회계,2022,15,상속세,1,내국세,143371420,7.34578E+11,기획재정부,1.4594E+13,1.53287E+13,1.59036E+13,1.59036E+13,1.59036E+13,1.4594E+13
,0,일반회계,2022,21,부가가치세,1,내국세,7985806100,8.42147E+12,기획재정부,8.16266E+13,9.00561E+13,7.93233E+13,7.93233E+13,7.93233E+13,8.16266E+13
,0,일반회계,2022,22,개별소비세,1,내국세,16472690,3.98133E+11,기획재정부,9.31824E+12,9.71639E+12,1.01418E+13,1.01418E+13,1.01418E+13,9.31824E+12
,0,일반회계,2022,23,주세,1,내국세,125275490,35571751930,기획재정부,0,35697027420,0,0,0,0
,0,일반회계,2022,25,증권거래세,1,내국세,3269430,6865539850,기획재정부,6.30287E+12,6.30974E+12,7.538E+12,7.538E+12,7.538E+12,6.30287E+12
,0,일반회계,2022,26,인지세,1,내국세,0,2472168800,기획재정부,7.98775E+11,8.01247E+11,9.48E+11,9.48E+11,9.48E+11,7.98775E+11
,0,일반회계,2022,27,기타내국세,1,내국세,1.77679E+12,3.5337E+13,기획재정부,7.31553E+12,4.44293E+13,6.1549E+12,6.1549E+12,6.1549E+12,7.31553E+12
