당년도순원가,당년도수익,당년도총원가,구분,회계연도,전년도순원가,전년도수익,전년도총원가,소관명
682694670230.0,-13649529770.0,696344200000.0,18.도시철도건설,2022,542522000000.0,0.0,542522000000.0,국토교통부
450045187821.0,-71726448586.0,521771636407.0,19.일반공항건설및관리,2022,-33091436350.0,-155363157404.0,122271721054.0,국토교통부
2787907631422.0,0.0,2787907631422.0,36.하천관리,2022,1845208992961.0,0.0,1845208992961.0,국토교통부
413084596.0,0.0,413084596.0,35.댐건설및댐치수능력증대,2022,0.0,0.0,0.0,국토교통부
254800.0,0.0,254800.0,34.용수공급및개발,2022,0.0,0.0,0.0,국토교통부
-30705000.0,-30920000.0,215000.0,33.항공교통본부(책임운영),2022,0.0,0.0,0.0,국토교통부
-5292090.0,-5292090.0,0.0,32.국토교통행정지원,2022,0.0,0.0,0.0,국토교통부
0.0,0.0,0.0,31.기후변화대응,2022,841195520.0,0.0,841195520.0,국토교통부
-841733000.0,-841733000.0,0.0,30.도시정책,2022,0.0,0.0,0.0,국토교통부
213589362080.0,-1089133940.0,214678496020.0,29.대중교통육성,2022,143461645110.0,-2552630880.0,146014275990.0,국토교통부
579735525275.0,-29248015704.0,608983540979.0,28.자동차및교통정책,2022,349712187172.0,-18506404143.0,368218591315.0,국토교통부
385227830799.0,-6401006930.0,391628837729.0,27.광역교통정책,2022,299331170320.0,-4588354920.0,303919525240.0,국토교통부
1323173170.0,-361150.0,1323534320.0,26.국토교통인재개발,2022,1112123309.0,-242208620.0,1354331929.0,국토교통부
124076839430.0,0.0,124076839430.0,25.건설정책 및 기술지원,2022,130107154939.0,-5613900.0,130112768839.0,국토교통부
107735858120.0,0.0,107735858120.0,24.국토교통정보화,2022,112595495240.0,0.0,112595495240.0,국토교통부
572563500099.0,-11344436432.0,583907936531.0,23.국토교통연구개발,2022,569689423463.0,-28338966873.0,598028390336.0,국토교통부
37592580041.0,-252546110.0,37845126151.0,22.물류정책,2022,32282352346.0,-1240249680.0,33522602026.0,국토교통부
37996816858.0,-27842560.0,38024659418.0,21.항공운영지원,2022,22105073718.0,-555940.0,22105629658.0,국토교통부
262462547625.0,-26135616455.0,288598164080.0,20.항공발전지원,2022,135220430237.0,-37547253290.0,172767683527.0,국토교통부
659110387861.0,0.0,0.0,9.기타비용,2022,377839187636.0,0.0,0.0,국토교통부
23364655503460.0,0.0,0.0,비배분수익,2022,20229344334053.0,0.0,0.0,국토교통부
58493020303.0,0.0,0.0,1.재화및용역제공수익,2022,36256370017.0,0.0,0.0,국토교통부
234040556348.0,-61857017043.0,295897573391.0,10.농림수산업금융지원,2022,228794286028.0,-63575864345.0,292370150373.0,금융위원회
54277158490.0,0.0,54277158490.0,9.저축장려,2022,68228276510.0,0.0,68228276510.0,금융위원회
215561637815.0,-270513940877.0,486075578692.0,8.주택금융지원,2022,-92272412117.0,-268257128111.0,175984715994.0,금융위원회
748000000.0,0.0,748000000.0,7.산업금융지원,2022,500000000.0,0.0,500000000.0,금융위원회
96766319859.0,0.0,96766319859.0,6.금융소비자보호,2022,141907640.0,0.0,141907640.0,금융위원회
0.0,0.0,0.0,5.금융의 날 행사 및 저축장려,2022,65901280.0,0.0,65901280.0,금융위원회
0.0,0.0,0.0,4.불법사금융 피해자 보호,2022,604000000.0,0.0,604000000.0,금융위원회
3630538941.0,0.0,3630538941.0,3.금융산업글로벌화,2022,3492425958.0,0.0,3492425958.0,금융위원회
10897203882.0,0.0,10897203882.0,2.자금세탁방지시스템선진화,2022,9580167281.0,0.0,9580167281.0,금융위원회
-335804461416.0,-613709093786.0,277904632370.0,1.금융정책,2022,-457431819272.0,-832739328551.0,375307509279.0,금융위원회
528988313485.0,-2096361727657.0,2625350041142.0,프로그램순원가,2022,482831424009.0,-2006104438786.0,2488935862795.0,금융위원회
707388586950.0,0.0,0.0,재정운영결과,2022,673840235646.0,0.0,0.0,국회
707388586950.0,0.0,0.0,재정운영순원가,2022,673840235646.0,0.0,0.0,국회
2723334552.0,0.0,0.0,4.기타수익,2022,37335447844.0,0.0,0.0,국회
111696000.0,0.0,0.0,3.자산처분이익,2022,44683300.0,0.0,0.0,국회
366370.0,0.0,0.0,2.평가이익,2022,1191010.0,0.0,0.0,국회
2145417207.0,0.0,0.0,1.재화및용역제공수익,2022,1733043600.0,0.0,0.0,국회
248871359566.0,-1150281675951.0,1399153035517.0,11.신용보증금융지원,2022,721128690701.0,-841532117779.0,1562660808480.0,금융위원회
204618866160.0,0.0,0.0,관리운영비,2022,187300687879.0,0.0,0.0,금융위원회
96150089113.0,0.0,0.0,1.인건비,2022,94644669293.0,0.0,0.0,금융위원회
83723422.0,0.0,0.0,(16)보전비,2022,264607670.0,0.0,0.0,금융위원회
11088571539.0,0.0,0.0,(15)외주용역비,2022,10825409415.0,0.0,0.0,금융위원회
2388301867.0,0.0,0.0,(14)업무추진비,2022,2477907341.0,0.0,0.0,금융위원회
1139995712.0,0.0,0.0,(13)여비교통비,2022,752442204.0,0.0,0.0,금융위원회
1443228648.0,0.0,0.0,(12)수선유지비,2022,1548218060.0,0.0,0.0,금융위원회
108638504.0,0.0,0.0,(11)유류비,2022,115126587.0,0.0,0.0,금융위원회
2229174445.0,0.0,0.0,(10)지급임차료,2022,2086869893.0,0.0,0.0,금융위원회
2775111122.0,0.0,0.0,(9)교육훈련비,2022,2997843782.0,0.0,0.0,금융위원회
82189600.0,0.0,0.0,(8)지급보험료,2022,100152939.0,0.0,0.0,금융위원회
1221404902.0,0.0,0.0,(7)수도광열비,2022,1012730353.0,0.0,0.0,금융위원회
8122041605.0,0.0,0.0,(6)세금과공과,2022,7757033380.0,0.0,0.0,금융위원회
33076611006.0,0.0,0.0,(5)지급수수료,2022,26333677949.0,0.0,0.0,금융위원회
1294468016.0,0.0,0.0,(4)광고선전비,2022,1412205967.0,0.0,0.0,금융위원회
465577520.0,0.0,0.0,(3)인쇄비,2022,481942462.0,0.0,0.0,금융위원회
1778984607.0,0.0,0.0,(2)소모품비,2022,2087112850.0,0.0,0.0,금융위원회
13637721300.0,0.0,0.0,(1)복리후생비,2022,12737107915.0,0.0,0.0,금융위원회
108468777047.0,0.0,0.0,2.경비,2022,92656018586.0,0.0,0.0,금융위원회
4980814129.0,0.0,0.0,비배분수익,2022,39114365754.0,0.0,0.0,국회
0.0,0.0,0.0,비배분비용,2022,0.0,0.0,0.0,국회
196000.0,0.0,0.0,(21)기타비용,2022,3739280.0,0.0,0.0,국회
77514465315.0,0.0,0.0,2.경비,2022,70659599713.0,0.0,0.0,국회
384825209441.0,0.0,0.0,1.인건비,2022,380151420036.0,0.0,0.0,국회
462339674756.0,0.0,0.0,관리운영비,2022,450811019749.0,0.0,0.0,국회
2769821189.0,0.0,2769821189.0,5.입법조사처운영,2022,2730015008.0,0.0,2730015008.0,국회
4223236862.0,0.0,4223236862.0,4.예산정책처운영,2022,4102005512.0,0.0,4102005512.0,국회
34095752711.0,0.0,34095752711.0,3.국회도서관운영,2022,26631699470.0,0.0,26631699470.0,국회
117506184441.0,0.0,117506184441.0,2.국회사무처운영,2022,142320096546.0,0.0,142320096546.0,국회
91434731120.0,0.0,91434731120.0,1.의정활동지원,2022,86359765115.0,0.0,86359765115.0,국회
250029726323.0,0.0,250029726323.0,프로그램순원가,2022,262143581651.0,0.0,262143581651.0,국회
-5640353107526.0,0.0,0.0,재정운영결과,2022,54236102690411.0,0.0,0.0,국토교통부
550468713330.0,0.0,0.0,2.기타재원조달및이전,2022,550477442370.0,0.0,0.0,국토교통부
33408192946.0,0.0,0.0,1.부담금수익,2022,34370163438.0,0.0,0.0,국토교통부
583876906276.0,0.0,0.0,비교환수익 등,2022,584847605808.0,0.0,0.0,국토교통부
-5056476201250.0,0.0,0.0,재정운영순원가,2022,54820950296219.0,0.0,0.0,국토교통부
22177908297971.0,0.0,0.0,4.기타수익,2022,18016964246008.0,0.0,0.0,국토교통부
730122146950.0,0.0,0.0,3.자산처분이익,2022,1886223735164.0,0.0,0.0,국토교통부
398132038236.0,0.0,0.0,2.이자수익,2022,289899982864.0,0.0,0.0,국토교통부
63027165403.0,0.0,0.0,(1)복리후생비,2022,58501387640.0,0.0,0.0,국회
959942447.0,0.0,0.0,(2)소모품비,2022,834329869.0,0.0,0.0,국회
