세출예산현액,세출증감액,불용액,세출지출액,회계연도,다음년도이월액,소관명,수납액,예산현액,증감액
3.31889E+11,35132271040,31025088250,2.96757E+11,2022,4107182790,통일부,2739410810,1673000000,1066410810
7.9931E+11,12682812450,12682812450,7.86627E+11,2022,0,특허청,8.43539E+11,7.94587E+11,48951695770
1.72714E+12,23701269140,4772335010,1.70343E+12,2022,18928934130,해양경찰청,4027013030,5244000000,-1216986970
7.2522E+12,3.55547E+11,1.35256E+11,6.89665E+12,2022,2.20291E+11,해양수산부,1.62676E+12,1.54683E+12,79926041120
8.3299E+13,2.32272E+12,2.2037E+12,8.09762E+13,2022,1.1902E+11,행정안전부,2.88199E+11,66420000000,2.21779E+11
8.26229E+11,60556512310,13695383950,7.65672E+11,2022,46861128360,행정중심복합도시건설청,4.28307E+11,4.05202E+11,23105493120
52871000000,2798657990,2798657990,50072342010,2022,0,헌법재판소,45413010,480000000,-434586990
1.78336E+13,7.23728E+11,5.56127E+11,1.71098E+13,2022,1.67601E+11,환경부,7.37941E+12,6.77344E+12,6.05973E+11
12168969000,2790049690,2309359690,9378919310,2021,480690000,5·18민주화운동 진상규명조사위원회,0,0,0
20034589940,8267824370,4895462410,11766765570,2021,3372361960,가습기살균제사건과 4·16세월호참사 특별조사위원회,7905560,0,7905560
1.3742E+11,11101385400,10877788950,1.26318E+11,2021,223596450,감사원,726518920,609000000,117518920
36842000000,1301605520,1249240520,35540394480,2021,52365000,개인정보보호위원회,16026378270,4284000000,11742378270
1.20491E+13,3.2622E+11,3.09791E+11,1.17229E+13,2021,16429390310,경찰청,1.09974E+12,9.46618E+11,1.53122E+11
1.018E+13,7.32687E+11,7.30821E+11,9.44728E+12,2021,1865966500,고용노동부,3.56246E+11,86322000000,2.69924E+11
23220383000,9273902770,5329544190,13946480230,2021,3944358580,고위공직자범죄수사처,2811980,0,2811980
1.46576E+11,4894330340,3311190940,1.41682E+11,2021,1583139400,공정거래위원회,7.90844E+11,4.02718E+11,3.88126E+11
1.79064E+13,8.99158E+11,7.89184E+11,1.70072E+13,2021,1.09973E+11,과학기술정보통신부,9.92469E+12,9.12275E+12,8.01942E+11
5.97518E+11,34444997270,33081530800,5.63073E+11,2021,1363466470,관세청,38601780210,81293000000,-42691219790
8.20874E+13,2.72248E+11,1.81E+11,8.18152E+13,2021,91248930360,교육부,4.47385E+12,4.17266E+12,3.01193E+11
5.68974E+12,42140780860,23310143220,5.6476E+12,2021,18830637640,국가보훈처,4138544190,8926000000,-4787455810
38248160000,2266221080,1859851670,35981938920,2021,406369410,국가인권위원회,28993200,102000000,-73006800
7.57479E+11,54381978450,45856427950,7.03097E+11,2021,8525550500,국가정보원,19393550490,2884941000,16508609490
6.48784E+11,35304109930,31165485520,6.1348E+11,2021,4138624410,국무조정실 및 국무총리비서실,362870600,0,362870600
90835000000,7421483050,7421483050,83413516950,2021,0,국민권익위원회,435124800,479000000,-43875200
3.81E+13,2.19534E+12,1.01339E+12,3.59046E+13,2021,1.18195E+12,국방부,1.67748E+12,1.98942E+12,-3.11939E+11
1.89052E+12,89859166450,89859166450,1.80066E+12,2021,0,국세청,7.37987E+11,6.93957E+11,44029647200
4.68197E+13,9.53711E+11,5.14031E+11,4.5866E+13,2021,4.3968E+11,국토교통부,2.04162E+13,2.04949E+13,-78678129180
7.18167E+11,76323336890,55635817350,6.41844E+11,2021,20687519540,국회,3230187170,3688000000,-457812830
