계정명,단위사업,단위사업명,ANEXP_BDGAMT_F,ANEXP_BDGAMT_M,ANEXP_BDG_CAMT,AVDV_IAMT,AVDV_MAMT,BDTR_IAMT,BDTR_MAMT,지출목,지출목명,DUSEAMT,EP_AMT,EP_NAMT,분야,분야명,FNT_IAMT,FNT_MAMT,회계명,회계연도,NEXT_YY_BFWAMT,소관명,OVR_EP_AMT,프로그램,프로그램명,PREY_BFWAMT,RSVF_EP_DCS_IAMT,RSVF_EP_DCS_MAMT,부문,부문명
,1132,정보화,3934813000.0,3934813000.0,3914813000.0,0.0,0.0,0.0,-20000000.0,210,운영비,67703560.0,3847109440.0,3847109440.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1132,정보화,1810000000.0,1810000000.0,1830000000.0,0.0,0.0,20000000.0,0.0,260,연구용역비,105732540.0,1724267460.0,1724267460.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1132,정보화,1808187000.0,1808187000.0,1808187000.0,0.0,0.0,0.0,0.0,430,유형자산,13871260.0,1794315740.0,1794315740.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1133,국가안보 및 위기관리,274556000.0,274556000.0,274556000.0,0.0,0.0,0.0,0.0,210,운영비,70589440.0,203966560.0,203966560.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1133,국가안보 및 위기관리,149444000.0,149444000.0,149444000.0,0.0,0.0,0.0,0.0,240,업무추진비,0.0,149444000.0,149444000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1133,국가안보 및 위기관리,40000000.0,40000000.0,40000000.0,0.0,0.0,0.0,0.0,260,연구용역비,4600000.0,35400000.0,35400000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령비서실 및 국가안보실,0.0,1100,국정지원,0.0,0.0,0.0,016,일반행정
,1001,인건비,53937000000.0,53937000000.0,53937000000.0,0.0,0.0,0.0,0.0,110,인건비,1418681720.0,52518318280.0,52518318280.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,3272898000.0,3272898000.0,3272898000.0,0.0,0.0,0.0,0.0,110,인건비,95874130.0,3177023870.0,3177023870.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,6610898000.0,6610898000.0,6607898000.0,0.0,0.0,0.0,-3000000.0,210,운영비,277595720.0,6330302280.0,6330302280.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,601250000.0,601250000.0,604250000.0,0.0,0.0,3000000.0,0.0,220,여비,1174960.0,603075040.0,603075040.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,724775000.0,724775000.0,724775000.0,0.0,0.0,0.0,0.0,250,직무수행경비,18400760.0,706374240.0,706374240.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,623179000.0,623179000.0,623179000.0,0.0,0.0,0.0,0.0,320,민간이전,71712190.0,551466810.0,551466810.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,100000000.0,100000000.0,200000000.0,0.0,0.0,100000000.0,0.0,430,유형자산,1951500.0,198048500.0,198048500.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1011,기본경비,100000000.0,100000000.0,0.0,0.0,0.0,0.0,-100000000.0,440,무형자산,0.0,0.0,0.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1000,대통령경호처 운영,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,25202000.0,25202000.0,25202000.0,0.0,0.0,0.0,0.0,110,인건비,656250.0,24545750.0,24545750.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,5411160000.0,5411160000.0,7430133000.0,0.0,0.0,0.0,0.0,210,운영비,288004720.0,7142128280.0,7142128280.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,2018973000.0,0.0,016,일반행정
,1231,경호행사지원,976000000.0,976000000.0,976000000.0,0.0,0.0,0.0,0.0,220,여비,30.0,975999970.0,975999970.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
,1231,경호행사지원,6416500000.0,6416500000.0,6416500000.0,0.0,0.0,0.0,0.0,230,특수활동비,0.0,6416500000.0,6416500000.0,010,일반·지방행정,0.0,0.0,일반회계,2022,0.0,대통령경호처,0.0,1200,대통령 및 국가요인 경호,0.0,0.0,0.0,016,일반행정
