회계연도,소관명,PRV_1_AMT,PRV_2_AMT,PRV_3_AMT,STL_TACCT_NM,THISP_1_AMT,THISP_2_AMT,THISP_3_AMT
2011,경찰청,0,0,278142948525,부채계,0,0,314508492815
2011,경찰청,0,0,0,순자산,0,0,0
2011,경찰청,0,0,6898650203656,Ⅰ.기본순자산,0,0,6898650203656
2011,경찰청,0,0,700140054790,Ⅱ.적립금 및 잉여금,0,0,-595421276468
2011,경찰청,0,0,468109528376,Ⅲ.순자산조정,0,0,3081850375972
2011,경찰청,0,0,8066899786822,순자산계,0,0,9385079303160
2011,경찰청,0,0,8345042735347,부채와순자산계,0,0,9699587795975
2011,고용노동부,0,0,0,자산,0,0,0
2011,고용노동부,0,0,11600320092997,Ⅰ.유동자산,0,0,12939189498621
2011,고용노동부,0,0,427378282752,1. 현금및현금성자산,0,0,671070623646
2011,고용노동부,0,0,1284372993810,2. 단기금융상품,0,0,1363237397440
2011,고용노동부,0,0,8321929964415,3. 단기투자증권,0,0,7925004251649
2011,고용노동부,0,1889773278774,0,4. 미수채권,0,2725196120647,0
2011,고용노동부,0,793974368582,1095798910192,미수채권대손충당금,0,809007811410,1916188309237
2011,고용노동부,0,455912458986,0,5. 단기대여금,0,1056287866353,0
2011,고용노동부,0,0,455912458986,단기대여금대손충당금,0,2542045361,1053745820992
2011,고용노동부,0,0,14927482842,6. 기타유동자산,0,0,9943095657
2011,고용노동부,0,0,3392349923311,Ⅱ.투자자산,0,0,3036660328617
2011,고용노동부,0,0,1406304991859,2. 장기투자증권,0,0,1681764088824
2011,고용노동부,0,1977587386782,0,1. 장기대여금,0,1418150681832,0
2011,고용노동부,0,2487019630,1975100367152,장기대여금대손충당금,0,74443523219,1343707158613
2011,고용노동부,0,0,10944564300,3. 기타투자자산,0,0,11189081180
2011,고용노동부,0,0,1608648223572,Ⅲ.일반유형자산,0,0,2281794147808
2011,고용노동부,0,0,696509432026,1. 토지,0,0,1127548148625
2011,고용노동부,0,770751883480,0,2. 건물,0,925218938319,0
