계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분,국회확정금액,정부안금액
,일반회계,2013,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,50124049.0,50124049.0
,일반회계,2012,기타경상이전수입,경상이전수입,기타경상이전수입,교육과학기술부,일반수입,1050.0,1050.0
,일반회계,2012,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육과학기술부,일반수입,2020209.0,2020209.0
,일반회계,2012,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육과학기술부,일반수입,78980.0,78980.0
,일반회계,2012,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,금융위원회,일반수입,13867.0,13867.0
,일반회계,2012,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,금융위원회,일반수입,956079.0,956079.0
,일반회계,2012,전대차관이자수입,재산수입,기타민간전대차관이자수입,금융위원회,일반수입,736.0,736.0
,일반회계,2012,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,금융위원회,일반수입,50214.0,50214.0
차관계정,공공자금관리기금,2012,기타경상이전수입,경상이전수입,기타경상이전수입,기획재정부,일반수입,238858.0,238858.0
차관계정,공공자금관리기금,2012,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,기획재정부,일반수입,164766871.0,164766871.0
차관계정,공공자금관리기금,2012,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,기획재정부,일반수입,268856448.0,268856448.0
차관계정,공공자금관리기금,2012,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,기획재정부,일반수입,780495.0,780495.0
차관계정,공공자금관리기금,2012,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,기획재정부,일반수입,6607775.0,6607775.0
차관계정,공공자금관리기금,2012,전대차관이자수입,재산수입,기타민간전대차관이자수입,기획재정부,일반수입,21617246.0,21617246.0
차관계정,공공자금관리기금,2012,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,기획재정부,일반수입,14657570.0,14657570.0
차관계정,공공자금관리기금,2012,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,기획재정부,일반수입,41577.0,41577.0
차관계정,공공자금관리기금,2012,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,기획재정부,일반수입,385493.0,385493.0
차관계정,공공자금관리기금,2012,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,기획재정부,내부거래수입(예산=>기금간거래),18313453.0,18313453.0
