회계연도,소관명,결산예산구분명,지출금액
2022,기획재정부,결산,254870.0
2022,문화체육관광부,결산,73262.0
2022,보건복지부,결산,1053939.0
2022,여성가족부,결산,14075.0
2022,방송통신위원회,결산,480.0
2022,금융위원회,결산,15519.0
2022,국민권익위원회,결산,885.0
2022,원자력안전위원회,결산,1549.0
2022,교육부,결산,1005384.0
2022,외교부,결산,29407.0
2022,농림축산식품부,결산,165147.0
2022,산업통상자원부,결산,110769.0
2022,국토교통부,결산,553445.0
2022,해양수산부,결산,60226.0
2022,식품의약품안전처,결산,6416.0
2022,대통령비서실 및 국가안보실,결산,843.0
2022,새만금개발청,결산,2450.0
2022,행정안전부,결산,809762.0
2022,중소벤처기업부,결산,613697.0
2022,소방청,결산,2368.0
2022,해양경찰청,결산,17034.0
2022,가습기살균제사건과 4·16세월호참사 특별조사위원회,결산,104.0
2022,5·18민주화운동 진상규명조사위원회,결산,119.0
2022,개인정보보호위원회,결산,482.0
2022,고위공직자범죄수사처,결산,183.0
2022,질병관리청,결산,117863.0
2022,진실·화해를위한과거사정리위원회,결산,133.0
2022,국가교육위원회,결산,12.0
2022,인사혁신처,결산,230807.0
2022,과학기술정보통신부,결산,182502.0
2022,대통령경호처,결산,1038.0
2021,국가정보원,결산,7031.0
2021,감사원,결산,1263.0
2021,국회,결산,6418.0
2021,대법원,결산,19530.0
2021,헌법재판소,결산,488.0
2021,중앙선거관리위원회,결산,3599.0
2021,국무조정실 및 국무총리비서실,결산,6134.0
2021,법무부,결산,38892.0
2021,국방부,결산,363751.0
2021,고용노동부,결산,389338.0
2021,통일부,결산,2278.0
2021,법제처,결산,373.0
2021,국가보훈처,결산,58016.0
2021,산림청,결산,25009.0
2021,국세청,결산,18007.0
2021,관세청,결산,5631.0
2021,병무청,결산,2200.0
2021,농촌진흥청,결산,10939.0
2021,특허청,결산,5100.0
2021,조달청,결산,2091.0
2021,환경부,결산,107678.0
2021,통계청,결산,3944.0
2021,기상청,결산,4015.0
2021,경찰청,결산,116745.0
2021,공정거래위원회,결산,1417.0
2021,민주평화통일자문회의,결산,313.0
2021,문화재청,결산,10944.0
2021,국가인권위원회,결산,360.0
2021,방위사업청,결산,162136.0
2021,행정중심복합도시건설청,결산,4089.0
2021,기획재정부,결산,240836.0
2021,문화체육관광부,결산,68827.0
2021,보건복지부,결산,941640.0
2021,여성가족부,결산,11984.0
2021,방송통신위원회,결산,483.0
2021,금융위원회,결산,13480.0
2021,국민권익위원회,결산,834.0
2021,원자력안전위원회,결산,1564.0
2021,교육부,결산,827479.0
2021,외교부,결산,26779.0
2021,농림축산식품부,결산,165405.0
2021,산업통상자원부,결산,113091.0
2021,국토교통부,결산,569481.0
2021,해양수산부,결산,60344.0
2021,식품의약품안전처,결산,5941.0
2021,대통령비서실 및 국가안보실,결산,899.0
2021,새만금개발청,결산,2946.0
2021,행정안전부,결산,724411.0
2021,중소벤처기업부,결산,342174.0
2021,소방청,결산,2098.0
2021,해양경찰청,결산,15102.0
2021,가습기살균제사건과 4·16세월호참사 특별조사위원회,결산,118.0
2021,5·18민주화운동 진상규명조사위원회,결산,94.0
2021,개인정보보호위원회,결산,355.0
2021,고위공직자범죄수사처,결산,139.0
2021,질병관리청,결산,83407.0
2021,진실·화해를위한과거사정리위원회,결산,83.0
2021,인사혁신처,결산,213257.0
2021,과학기술정보통신부,결산,172854.0
2021,대통령경호처,결산,845.0
2020,국가정보원,결산,6202.0
2020,감사원,결산,1259.0
2020,국회,결산,6165.0
2020,대법원,결산,18775.0
2020,헌법재판소,결산,492.0
2020,중앙선거관리위원회,결산,7107.0
2020,국무조정실 및 국무총리비서실,결산,5840.0
2020,법무부,결산,36880.0
2020,국방부,결산,337759.0
2020,고용노동부,결산,402116.0
2020,통일부,결산,2361.0
2020,법제처,결산,384.0
2020,국가보훈처,결산,56542.0
2020,산림청,결산,22800.0
2020,국세청,결산,17397.0
2020,관세청,결산,5412.0
2020,병무청,결산,2104.0
2020,농촌진흥청,결산,10666.0
2020,특허청,결산,4925.0
2020,조달청,결산,2889.0
2020,환경부,결산,98001.0
2020,통계청,결산,4519.0
2020,기상청,결산,3579.0
2020,경찰청,결산,112110.0
2020,공정거래위원회,결산,1344.0
2020,민주평화통일자문회의,결산,297.0
2020,문화재청,결산,10178.0
2020,국가인권위원회,결산,362.0
2020,방위사업청,결산,157348.0
2020,행정중심복합도시건설청,결산,3181.0
2020,기획재정부,결산,208736.0
2020,문화체육관광부,결산,66444.0
2020,보건복지부,결산,884437.0
2020,여성가족부,결산,10913.0
2020,방송통신위원회,결산,569.0
2020,금융위원회,결산,35706.0
2020,국민권익위원회,결산,814.0
2020,원자력안전위원회,결산,1073.0
2020,교육부,결산,758407.0
2020,외교부,결산,24423.0
2020,농림축산식품부,결산,159689.0
2020,산업통상자원부,결산,102701.0
2020,국토교통부,결산,493251.0
2020,해양수산부,결산,55527.0
2020,식품의약품안전처,결산,5692.0
2020,대통령비서실 및 국가안보실,결산,919.0
2020,새만금개발청,결산,3118.0
2020,행정안전부,결산,689492.0
2020,중소벤처기업부,결산,255414.0
2020,소방청,결산,2085.0
2020,해양경찰청,결산,14557.0
2020,가습기살균제사건과 4·16세월호참사 특별조사위원회,결산,148.0
2020,5·18민주화운동 진상규명조사위원회,결산,57.0
2020,개인정보보호위원회,결산,119.0
2020,질병관리청,결산,6442.0
2020,진실·화해를위한과거사정리위원회,결산,41.0
2020,인사혁신처,결산,205779.0
2020,과학기술정보통신부,결산,169103.0
2020,대통령경호처,결산,807.0
2019,국가정보원,결산,5150.0
2019,감사원,결산,1261.0
2019,국회,결산,5895.0
2019,대법원,결산,18400.0
2019,헌법재판소,결산,437.0
2019,중앙선거관리위원회,결산,3287.0
2019,국무조정실 및 국무총리비서실,결산,5619.0
2019,법무부,결산,36590.0
2019,국방부,결산,326523.0
2019,고용노동부,결산,285121.0
2019,통일부,결산,2931.0
2019,법제처,결산,347.0
2019,국가보훈처,결산,54305.0
2019,산림청,결산,21972.0
2019,국세청,결산,17122.0
2019,관세청,결산,5292.0
2019,병무청,결산,2186.0
2019,농촌진흥청,결산,9758.0
2019,특허청,결산,4395.0
2019,조달청,결산,1299.0
2019,환경부,결산,89447.0
2019,통계청,결산,3703.0
2019,기상청,결산,3827.0
2019,경찰청,결산,107039.0
2019,공정거래위원회,결산,1272.0
2019,민주평화통일자문회의,결산,300.0
2019,문화재청,결산,9031.0
2019,국가인권위원회,결산,363.0
2019,방위사업청,결산,153947.0
2019,행정중심복합도시건설청,결산,3472.0
2019,기획재정부,결산,178820.0
2019,문화체육관광부,결산,58527.0
2019,보건복지부,결산,729599.0
2019,여성가족부,결산,11210.0
2019,방송통신위원회,결산,591.0
2019,금융위원회,결산,9704.0
2019,국민권익위원회,결산,800.0
2019,원자력안전위원회,결산,1059.0
2019,교육부,결산,750765.0
2019,외교부,결산,24438.0
2019,농림축산식품부,결산,149339.0
2019,산업통상자원부,결산,81551.0
2019,국토교통부,결산,469697.0
2019,해양수산부,결산,51753.0
2019,식품의약품안전처,결산,4893.0
2019,대통령비서실 및 국가안보실,결산,900.0
2019,새만금개발청,결산,2874.0
2019,행정안전부,결산,562270.0
2019,중소벤처기업부,결산,115517.0
2019,소방청,결산,2215.0
2019,해양경찰청,결산,13355.0
2019,가습기살균제사건과 4·16세월호참사 특별조사위원회,결산,152.0
2019,인사혁신처,결산,191656.0
2019,과학기술정보통신부,결산,146490.0
2019,대통령경호처,결산,820.0
2018,국가정보원,결산,4355.0
2018,감사원,결산,1242.0
2018,국회,결산,5615.0
2018,대법원,결산,18100.0
2018,헌법재판소,결산,426.0
2018,중앙선거관리위원회,결산,3850.0
2018,국무조정실 및 국무총리비서실,결산,5408.0
2018,법무부,결산,37524.0
2018,국방부,결산,307449.0
2018,고용노동부,결산,240620.0
2018,통일부,결산,4222.0
2018,법제처,결산,325.0
2018,국가보훈처,결산,53836.0
2018,산림청,결산,20259.0
2018,국세청,결산,16388.0
2018,관세청,결산,5050.0
2018,병무청,결산,2151.0
2018,농촌진흥청,결산,9603.0
2018,특허청,결산,4221.0
2018,조달청,결산,1230.0
2018,환경부,결산,68809.0
2018,통계청,결산,2911.0
2018,기상청,결산,3847.0
2018,경찰청,결산,102645.0
2018,공정거래위원회,결산,1196.0
2018,민주평화통일자문회의,결산,298.0
2018,문화재청,결산,7820.0
2018,국가인권위원회,결산,301.0
2018,방위사업청,결산,134920.0
2018,행정중심복합도시건설청,결산,2718.0
2018,기획재정부,결산,175978.0
2018,문화체육관광부,결산,51429.0
2018,보건복지부,결산,630632.0
2018,여성가족부,결산,7390.0
2018,방송통신위원회,결산,556.0
2018,금융위원회,결산,4079.0
2018,국민권익위원회,결산,755.0
2018,원자력안전위원회,결산,983.0
2018,교육부,결산,685549.0
2018,외교부,결산,22821.0
2018,농림축산식품부,결산,143589.0
2018,산업통상자원부,결산,73407.0
2018,국토교통부,결산,425455.0
2018,해양수산부,결산,50415.0
2018,식품의약품안전처,결산,4618.0
2018,대통령비서실 및 국가안보실,결산,862.0
2018,새만금개발청,결산,2683.0
2018,행정안전부,결산,487725.0
2018,중소벤처기업부,결산,108663.0
2018,소방청,결산,1811.0
2018,해양경찰청,결산,12603.0
2018,가습기살균제사건과 4·16세월호참사 특별조사위원회,결산,67.0
2018,인사혁신처,결산,180282.0
2018,세월호선체조사위원회,결산,252.0
2018,과학기술정보통신부,결산,134625.0
2018,대통령경호처,결산,797.0
2017,국가정보원,결산,4461.0
2017,감사원,결산,1209.0
2017,국회,결산,5500.0
2017,대법원,결산,17207.0
2017,헌법재판소,결산,408.0
2017,중앙선거관리위원회,결산,6996.0
2017,국무조정실 및 국무총리비서실,결산,5191.0
2017,법무부,결산,36097.0
2017,국방부,결산,291822.0
2017,고용노동부,결산,178533.0
2017,통일부,결산,2878.0
2017,법제처,결산,319.0
2017,국가보훈처,결산,49230.0
2017,산림청,결산,20643.0
2017,국세청,결산,15927.0
2017,관세청,결산,4850.0
2017,병무청,결산,2109.0
2017,농촌진흥청,결산,9253.0
2017,중소기업청,결산,14235.0
2017,특허청,결산,3971.0
2017,조달청,결산,1163.0
2017,환경부,결산,68515.0
2017,통계청,결산,2863.0
2017,기상청,결산,3777.0
2017,경찰청,결산,99592.0
2017,공정거래위원회,결산,1086.0
2017,민주평화통일자문회의,결산,271.0
2017,문화재청,결산,7696.0
2017,국가인권위원회,결산,285.0
2017,방위사업청,결산,116154.0
2017,행정중심복합도시건설청,결산,2599.0
2017,기획재정부,결산,170385.0
2017,문화체육관광부,결산,57575.0
2017,보건복지부,결산,579942.0
2017,여성가족부,결산,6657.0
2017,방송통신위원회,결산,536.0
2017,금융위원회,결산,2302.0
2017,국민권익위원회,결산,726.0
2017,원자력안전위원회,결산,935.0
2017,대통령경호실,결산,422.0
2017,미래창조과학부,결산,81453.0
2017,교육부,결산,632507.0
2017,외교부,결산,21840.0
2017,농림축산식품부,결산,142573.0
2017,산업통상자원부,결산,72879.0
2017,국토교통부,결산,436902.0
2017,해양수산부,결산,48547.0
2017,식품의약품안전처,결산,4354.0
2017,대통령비서실 및 국가안보실,결산,751.0
2017,새만금개발청,결산,1176.0
2017,행정안전부,결산,193139.0
2017,중소벤처기업부,결산,96707.0
2017,소방청,결산,760.0
2017,해양경찰청,결산,5465.0
2017,행정자치부,결산,249053.0
2017,국민안전처,결산,16936.0
2017,인사혁신처,결산,171615.0
2017,세월호선체조사위원회,결산,48.0
2017,과학기술정보통신부,결산,53789.0
2017,대통령경호처,결산,385.0
2016,국가정보원,결산,4701.0
2016,감사원,결산,1163.0
2016,국회,결산,5245.0
2016,대법원,결산,16481.0
2016,헌법재판소,결산,392.0
2016,중앙선거관리위원회,결산,6220.0
2016,국무조정실 및 국무총리비서실,결산,5239.0
2016,법무부,결산,32619.0
2016,국방부,결산,284816.0
